name,aliases
Tim Hortons,"['Tim Horton', 'Tim Horton’s']"
Starbucks,[]
Second Cup,['The Second Cup']
Aroma Espresso Bar,[]
Nova Era Bakery,[]
Caffe Demetre,[]
Creeds Coffee Bar,[]
B Espresso Bar,[]
Bagel Stop,['The Bagel Stop']
Wallace Espresso,[]
Delimark Cafe,[]
Forget Me Not Cafe,[]
Jules Cafe Patisserie,[]
McDonald’s,['McDonalds']
Burger King,[]
Wendy’s,[]
A&W,['A & W']
Five Guys,[]
The Burger’s Priest,['Burger’s Priest']
South St. Burger,['South St Burger']
Big Smoke Burger,[]
Hero Certified Burgers,[]
Mr. Sub,['Mr Sub']
Subway,[]
Quiznos,['Quiznos Sub']
Select Sandwich,[]
Pumpernickel’s,[]
Potbelly Sandwich Shop,[]
Sandwich Box,[]
Druxy’s Famous Deli,['Druxy’s Famous Delix']
KFC,[]
Popeyes Louisiana Kitchen,['Popeye’s Louisiana Kitchen']
Church’s Chicken,[]
4C Broast Chicken,[]
St. Louis Bar & Grill,[]
Wild Wing,[]
Wing Machine,[]
Duff’s Famous Wings,[]
Union Chicken,[]
Pizza Pizza,[]
Domino’s,['Domino’s Pizza']
Pizza Hut,[]
Little Caesars,[]
Papa John’s,"['Papa Johns', 'Papa John’s Pizza']"
Panago Pizza,[]
Pizzaville,[]
Pizza Nova,[]
Gino’s Pizza,[]
241 Pizza,['2 4 1 Pizza']
Pizzaiolo,[]
Pizza Depot,[]
Panzerotto Pizza,[]
Double Double Pizza & Chicken,['Double Double Pizza Chicken']
Telepizza,[]
Diamond Pizza,[]
Pizza Manna,[]
Pi Co,[]
King Slice,[]
Chipotle Mexican Grill,[]
Burrito Boyz,[]
Burrito Bandidos,[]
Mucho Burrito,[]
Quesada Burritos & Tacos,[]
Tacorrito,[]
z-teca,[]
Burro Burrito,[]
Mega Wraps,[]
Osmow’s,[]
Ali Baba’s,"['Ali Baba’s Restaurant', 'Ali Baba’s Middle Eastern Cuisine']"
Pita Land,[]
Pita Pit,[]
Villa Madina,[]
Euro Shawarma,[]
Lebanon Express,[]
Quick Pita,[]
Liberty Shawarma,[]
Pita Way,[]
Pita Ikram,[]
Mr. Souvlaki,['Mr Souvlaki']
Souvlaki Express,[]
Souvlaki Hut,[]
Manchu Wok,[]
Thai Express,[]
Edo Japan,[]
Teriyaki Experience,[]
Shanghai 360,[]
Szechuan Express,[]
California Thai,[]
Jimmy the Greek,[]
Bourbon St Grill,[]
New York Fries,[]
Sbarro,[]
Cultures,[]
Piazza Manna,[]
Fast Fresh Foods,[]
Freshii,[]
Hopscotch,[]
Salad Days,[]
Salus Fresh Foods,[]
Lettuce Eatery,[]
Crave Healthy Habits,[]
Living Well,[]
Fit For Life,[]
Bento Sushi,[]
Mac’s Sushi,[]
Sushi Shop,[]
Umi Sushi Express,[]
Tokyo Sushi,[]
Mi’hito Sushi Laboratory,[]
Sushi Q,[]
SU&BU,[]
Amaya Express,[]
Thai One On,[]
Thai Island,[]
The Friendly Thai,[]
Hey Noodles,[]
Dagu Rice Noodle,[]
Made In Japan,[]
Eggsmart,[]
Sunset Grill,[]
Sunnyside Grill,[]
Dairy Queen,['DQ Grill & Chill Restaurant']
Starving Artist,[]
Smoke’s Poutinerie,[]
Soup It Up,[]
Soup Nutsy,[]
Ravi Soups,[]
Village Juicery,[]
Jack Astor’s Bar & Grill,[]
Boston Pizza,[]
Moxie’s Grill & Bar,['Moxie’s']
Pickle Barrel,['The Pickle Barrel']
Red Lobster,[]
Nando’s,"['Nando’s Flame Grilled Chicken', 'Nando’s Flame-Grilled Chicken']"
Paramount Fine Foods,[]
Flock Rotisserie + Greens,['Flock']
Porchetta & Co,[]
Mean Bao,[]
Rolltation,[]
Halibut House,[]
Ritz Caribbean Foods,[]
Jerk King,[]
The Jerk Spot,[]
Tropical Joe’s,[]
Habitant,[]
